kl,recons
0.6602025628089905,26881.08984375
0.6156039237976074,25556.994140625
0.5931469202041626,25539.15625
0.5505508184432983,25019.705078125
0.5195581912994385,26492.513671875
0.49108970165252686,24758.953125
0.4686640501022339,25660.072265625
0.47230055928230286,24696.7578125
0.45932167768478394,24578.310546875
0.4466263949871063,24382.27734375
0.4478485882282257,23980.755859375
0.46907737851142883,23935.982421875
0.4369308054447174,23401.84765625
0.4596248269081116,23739.876953125
0.4682389199733734,23394.896484375
0.4634056091308594,22556.1484375
0.489026814699173,23158.607421875
0.4644489586353302,23013.916015625
0.5282387137413025,21557.896484375
0.5215729475021362,22472.96875
0.5514939427375793,21663.533203125
0.5711648464202881,21707.34375
0.6035175323486328,21268.359375
0.6192898154258728,20577.375
0.6319072246551514,20507.130859375
0.6416900157928467,20770.29296875
0.68342125415802,19680.8359375
0.7229074835777283,20301.296875
0.7658354043960571,19698.732421875
0.7846368551254272,19802.38671875
0.809127151966095,19227.376953125
0.8393747210502625,19142.23046875
0.9310585856437683,18666.9609375
0.949719250202179,18825.234375
0.9940016269683838,17759.8359375
0.9814995527267456,18015.431640625
1.0220872163772583,17333.857421875
1.045162320137024,17744.779296875
1.0992934703826904,17517.587890625
1.1395556926727295,17333.115234375
1.1923468112945557,17063.40234375
1.214176893234253,16857.0625
1.3678747415542603,15948.1669921875
1.391305685043335,16031.6884765625
1.4278695583343506,16091.06640625
1.4629794359207153,15733.3779296875
1.4817728996276855,15580.046875
1.4931681156158447,15419.0224609375
1.568971037864685,15317.2666015625
1.6812872886657715,14882.044921875
1.623361349105835,15084.078125
1.793299913406372,14424.1640625
1.806635856628418,14376.1787109375
1.8367537260055542,14137.9892578125
1.9324954748153687,13426.1982421875
1.9505414962768555,13875.1025390625
2.0787272453308105,13775.40234375
2.086744785308838,13053.337890625
2.0854365825653076,13136.1455078125
2.176544427871704,13199.162109375
2.2412943840026855,12652.8251953125
2.1870908737182617,12929.408203125
2.2007923126220703,12313.158203125
2.2715115547180176,12226.474609375
2.324334144592285,12033.576171875
2.3853437900543213,12027.8681640625
2.520768642425537,11923.5
2.5253820419311523,11407.912109375
2.570256471633911,11258.2666015625
2.5915286540985107,11331.2734375
2.6582701206207275,11208.5927734375
2.6666293144226074,11016.986328125
2.864278554916382,11207.9912109375
2.9514973163604736,10318.044921875
2.8818461894989014,10399.4775390625
3.0364904403686523,10273.5966796875
3.0616672039031982,10263.3779296875
3.1478776931762695,9814.6171875
3.180527687072754,9499.9521484375
3.3533246517181396,9828.96484375
3.3638038635253906,9379.5634765625
3.349492311477661,9329.9140625
3.4811246395111084,9480.888671875
3.3908724784851074,9361.1875
3.408505916595459,9025.541015625
3.5678012371063232,8579.6162109375
3.526287794113159,8451.875
3.6977312564849854,8965.1474609375
3.732433795928955,8382.859375
3.8954553604125977,8278.763671875
3.932642936706543,8291.216796875
4.121427536010742,8070.072265625
4.212030410766602,7978.59033203125
4.260875225067139,7821.341796875
4.451377868652344,7833.36474609375
4.505369186401367,7910.08203125
4.367178916931152,7353.66064453125
4.556769371032715,7322.1396484375
4.729491710662842,6955.875
4.756583213806152,7026.2783203125
